helpful,postDate,reviewBody,reviewTitles,special_profile,starRating,type,type_product,username,verifiedPurchase
4 people found this helpful,"Reviewed in the United States on November 29, 2020","Una gran estafa totalmente un Robo , suena mejor la de mi hijo echo 3 , ahora escuchamos las dos y definitivamente la de mi hijo suena mucho más , compre esto pensando que era mejor sonido que la 3 , si yo hubiera sabido que era una total farza hubiera comprado la echo 3 por tan solo 18 dólares , la única diferencia es que esta es redonda nada más pero mil veces mejor echo 3 y mucho más barata",Es mucho mejor el sonido de echo 3 esto es estafa,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Lucky G.,Verified Purchase
,"Reviewed in the United States on December 24, 2021","I use my echos frequently and there are some things that ruin the experience. I understand why Amazon wants to do these things, but I don't understand why declining once... or 25 times is not enough.1. Suggestions and ""by the way..."" I'm not interested in hearing about features and new services and I find it irritating that this thing is frequently talking to me about things other than what I asked for. I have it setup for brief interactions, with do not disturb on, and I still get this garbage multiple times a day2. Requesting to learn my voice. No Amazon, you do not need to know my voice, Stop Asking! How many times do I have to say no? Amazon knows enough about me3. Stop asking to set up car mode or link to my bluetooth headset. I'm not interested. Again, how many times do I have to decline. I use the app frequently when I get into the car, and once it connects to my stereo via Bluetooth I have to click several times to get out of the driving mode setupOverall this is a great device, but if it could stop doing these things I would use it more. The accompanying app is pretty terrible, and I would prefer to never use it",Nice but some very annoying flaws,,1.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Rich Gold,Verified Purchase
4 people found this helpful,"Reviewed in the United States on December 8, 2020","Was so excited to receive this new dot as a speaker upgrade to a really old version, but what a huge disappointment!! Maybe we received a defective unit? The sound quality was absolutely horrible!! No amount of adjusting the equalizer could get it to sound decent. It was just tinny and completely lacking in bass, sounding “thin” and hollow. My cell phone produces better quality sound. We promptly returned this version and opted for the older model dot, which we jokingly call a hockey puck ;) But the sound is sooooo much better. I’m wfh and listen daily, so poor sound quality is a deal breaker. I hope it’s an isolated instance, I’d hate to think the new version dots all sound like cheap trash!",Horrible Sound Quality,,2.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Geneva456,Verified Purchase
One person found this helpful,"Reviewed in the United States on April 28, 2021","I bought this Echo Dot for the office space we use for school, crafting, gaming, and of course my work. This is my third Echo device for my home, I also have one in my bedroom and one in my teens room. We like using the speakers for music, smart devices and for dropping in on one another when we can't get someone on their phone (teenagers!!). In my office I bought wifi enabled light bulbs since the light switch is in the middle of the room and we don't want to worry about tripping over anything on the way in/out of the room at 7am when we come in for school or at night when we head to bed. The Echo Dot is always responsive and is a life saver for my 6 year old needing the lights on/off. We listen to music often too and the speaker produces amazing sound. I'm not a speaker snob so maybe my opinion is limited but we all enjoy it and that's all that matters for me.",Great speaker! Wonderful sound.,,5.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,FaerieTxn,Verified Purchase
,"Reviewed in the United States on September 19, 2021","This Alexa device is extremely annoying and I do not feel it is worth the price. I feel this should have been $20/$25 instead of $50 based on the quality. I have to YELL at my Alexa device multiple times just for her to finally hear me which is annoying because I have 3 devices in my basement room. I normally keep two of them sounds off, so I don’t have 3 devices responding back to me at once. The video is showing her giving me an error response but most of the other times she wouldn’t respond AT ALL, until I yell it about two more times then she’ll finally respond, but this time she’s doing something different .. she’s responding but telling me a few things share that name when I only have ONE light set up with her. This device has been EXTREMELY annoying mainly because of the fact that I have to repeat myself just for her to even respond!! I feel Amazon just wanted to make some money off of a poorly made device and they didn’t even put enough effort in making this device, the price is way to high for something as poorly made as this. The video above is one example of how this device will have me repeating myself for a simple request(mind you, right before this has happened Ive been turning the light on and off ALL MORNING  with no problem, when I was ready to turn it back off she did this to me …)","Poorly made, have to repeat myself multiple times just for Alexa to finally hear and respond!",,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Sharree,Verified Purchase
One person found this helpful,"Reviewed in the United States on February 12, 2021","I'm not sure about this redesign. Performance is faster, bluetooth support is better. the speaker is better, but I'm not sure about the microphone.  It does not hear me every time.  It could an ambient noise or placement problem. I have the TV or radio on, and an air cleaner with loud fan. I had mic issues with gen 2 and 3, but this one seems worse.  When I talk loud in that direction it should detect every time, and it does not.  Part of me wants it to ignore me when I yell.  I think that would be good social training, but when I talk loud in that direction, it really should pick up my command. I will try changing placement. Mine is in a nook, against a wall. I will say this is better than gen 2 on all counts. Microphone might be better on gen 3, but that might not be a bad thing. The gen 3 in my bedroom gets commands I don't want it to sometimes, and I don't see that so much the other way around. I might be talking softer in the bedroom which has less ambient noise.",possible microphone issues,,4.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,George Richter,Verified Purchase
,"Reviewed in the United States on May 13, 2022","I have never owned anything like this before. I've never asked Google, Siri or Echo for anything much, hardly. I got it as part of a promotion with my Sirius XM radio subscription. I have a good speaking voice, so no problem with that. However, Alexa does not always seem to get the answer to the question right. For example, I asked how old an actor was when he played a certain role, and the answer I got was his current age. Frustrating! I've even tried asking the question in a different way. You can also submit feedback on the answers too. Overall, though, it is pretty accurate and helpful on most items. I just happen to be particular about details. Mine is the blue one. No problem with it except it did lose connection with the internet once, and I had to go through several steps to get it reconnected. Overall, I'd say that this device is pretty handy, and may help a lot of people. Now maybe soon I'll stop hearing about the Buick/Alexa ads🤣",It makes some mistakes,,4.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Don & Rachel Foley,Verified Purchase
2 people found this helpful,"Reviewed in the United States on December 8, 2020","i bought two dots and then an echo proper.  the two dots arrived first and i put them in different rooms and they seemed to work ok - no yelling needed.  i didn't set up my pandora account on the app until after the echo got here.  but now there seems to be some problem with getting a response from the echo or the dot nearest to it.  often, unless i stand near one of them and yell at them, they'll show the lights and then neither respond.  more importantly, i have a pandora station called My Dark Shade - only sometimes can i get the echos to play it.  most often, it gives me a separate pandora station called Dark Shade, or another one, or just something random.  and sometimes when i finally get it to play what i want it will stop, switch to some unknown station, or play a single song from an entirely different genre and then stop playing altogether.  is it because of the echo?  is it because i changed the wake word to ""echo"" and use that instead of ""alexa""?  i know the software on each of them is up to date but ...",Have to yell at it and it still can't tell the difference between words,,2.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,DB Dehnel,Verified Purchase
,"Reviewed in the United States on July 28, 2021","I have echo dots grouped throughout my home for listening to music, making announcements, finding my grandson, etc.It's wonderful when everything's working.The closest echo Dot doesn't always respond, often it is one from across the room.Sometimes none of them respond, and when using as an alarm clock to wake in the morning sometimes I cannot shut it off. It responds to its wake up word, but does not follow any of the commands which leads to me cursing at it and sometimes unplugging it to get it to stop.Starting the morning enraged doesn't make for a good day.I love that I can ask it specific questions about the weather and not have to receive the entire weather report just to find the temperature or if it's going to rain.I also enjoy the AI conversation mode. It can be rather entertaining.Another nice feature is the ability for my grandson to make an announcement if I've overslept. A rooster crows and then I hear his voice telling me to get up.Have Rick rolled him numerous times when his friends have been over and James Brown's ""I Feel Good"" still rattles him when I play it at full volume randomly.It's a great tool, I just wish I knew how to fine tune it a bit. But at this point in my life, I don't have the time to look up what I need to do in order to make that happen. Not laziness, I just don't have a free minute in a day anymore.",Love it! But I need a quick guide.,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Rudy Debourgogne,Verified Purchase
One person found this helpful,"Reviewed in the United States on September 21, 2021",I bought this as an upgrade to my system and at first it was a well but now in the last two weeks I have had to reset this unit MANY MANY TIMES to get it to work so now it has gone to the TRASH CAN and I am going back to my old 3rd generation Dot.  AMAZON what is going on??????Update 9/21/21  Amazon called and gave me the standard set up instruction from the tech script and when I told them that I have done all that and it was still dropping off line could they think beyond there computer script I got put on hold and then told I was out of warranty but they would give me 15% off if I purchased another unit and then waited for it to be delivered and then they will process the discount.  Such customer service.,Starts out well but does not make the long journey,,1.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Tony D. Piroli,Verified Purchase
,"Reviewed in the United States on June 23, 2021","Despite what the app, and all the advertising says, the integration between these and Apple is miles from being useful. Check the reviews for the Apple Podcasts skill for more info.To listen to something, you have to yell at your speaker the very specific instructions you want it to follow. As an example, you have to look up (in another app) that the podcast episode you want to listen to is number 545, then yell at the speaker ""alexa, play MyCoolPodcast episode 545 from Apple Podcasts on bathroom Echo Dot"". If you'd rather just click a button in your Apple Podcasts app, or in the Alexa app, you're shucks out of luck. Playing the latest episode works perfectly, but doesn't sync position or played status with Apple Podcasts, so I hope you want to listen to the whole thing at once, or don't mind scrubbing around in your app when you go for a walk or drive and want to pick up where you left off.This wouldn't be an issue if Amazon's Podcasts app had a decent selection of podcasts, but they don't. It also wouldn't be an issue if said app allowed you to add podcasts by URL, but it doesn't. As it is, you have to rely on the above clunky method to listen to things, which is really not user friendly. Amazon's ""support"" will run through their script, but save yourself the time, the buttons you are looking for don't exist.Apple figured this whole process out with their Homepods, and Google figured this whole process out with their Nest things, and both have far better podcast apps than Amazon does.",Doesn't actually work with Apple Music/Podcasts,,2.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,Kris Korpenfelt,Verified Purchase
,"Reviewed in the United States on November 4, 2021","3/14/2022: Tried one more time and caught it listening to me talk with my dogs... ZERO privacy!! Round the clock listening because of Guard... I have guard off and it was still listening. And then... Please, UGLY white cord with charcoal... BARF! FIX IT, Amazon!!!!!Yesterday, 11/2/2021, Amazon passed through an update which essentially, through a non-feature call Guard-Mode, never turns the listening off, even if you turn off Guard in the app. It's always listening, i.e. they have removed your privacy without your consent. Consider what that means. All night, all day, all the time, Amazon is listening. The light will always spin, you will have no privacy and no peace unless you turn off the mic after you finish talking to it each time. Turn mic on to talk, turn mic off when done. Very ballsy. I immediately cancelled my order for the 4th gens that were on sale and made sure supervisors in both the Alexa device dept. and CS dept. knew why. On my older gens I have tape over the lights, very tacky, so they won't keep me awake at night since I am light sensitive. I feel sure they won't let this review through, but worth a try to warn others.",Don't Buy This If You Value Your Privacy,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,don't you wish you knew 😁,Verified Purchase
,"Reviewed in the United States on May 6, 2021","I had nothing but problems with all three older echo dot third generations and I was hoping that this newer fourth generation would not have any of the same problems as the third generations but it has more problems and I don't know why it was released to market with so many problems with it. The Alexa App is also extremely problematic with it only recognizing less than half of the routines programmed into it. The pronunciation of words is highly problematic. Most of the time it does not know how to say it so it spells it out instead of speaking it or at times it will say the word properly only to not be able to pronounce it later on again. Another ongoing problem is that it will not recognize a TV to turn off and on but it cannot adjust the volume on it or recognize the TV. These echo dots and the Alexa app has tremendously stressed me out to the point at times I am having to take medication to control the stress. I have not had to cuss at something so much as I have had to with these devices and they also abduct your stations you want to listen to and forces you to listen to fake news and music you hate and other things that are a direct violation of my civil and Human rights. Amazon does not allow you to stop these horrendous problems in your personal life. We are being forced to listen to this tripe and we have no way to stop or block it.I purchased another 4th generation hoping that by now that Amazon had finally worked out the bugs but alas, they haven't. I guess Jeff Bezos is not interested in his reputation, except for being the richest man on Earth. I installed this new 4th generation echo dot and now none of my echo dots will turn on any of my televisions despite registering them numerous times and linking Alexa to the LG app. I am afraid to call for support or help because every time I do they mess up my Amazon account and now I am paying for thirteen separate Amazon Prime accounts each month and they refuse to do anything about it because they don't now how to fix the damage they have done.",Amazon keeps going from bad to worse on these echo dots.,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Virgil2U,Verified Purchase
,"Reviewed in the United States on December 8, 2021","I have been using multiple Echo Dots (4th Gen) for the past few months, primarily to be used as multi-room speakers. They FREQUENTLY stop playing music for no apparent reason (literally multiple times a day).  I have spent HOURS and HOURS troubleshooting (both independently and with tech support), resetting, isolating, etc. without any progress.  I've tried various music providers; it happens regardless of the service.  However, if I play music through my car speaker or strictly on my phone, the music never stops.  So it is very obviously the Echo Dots that are having the issue.I used Google Home speakers for years without any problems.  I only switched because I was moving, wanted additional speakers, and the Dots were priced right on Prime Day, so I made the big switch.  I very much regret that decision. I should have stuck with Google.  I am ordering new Google Nest speakers as soon as I submit this review.  I will be ditching the Echo Dots as soon as they arrive.I gave them 2 stars because when they are working, they're great.  I just can't rely on them to work consistently.  So disappointing.",Giving up and going back to Google!,,2.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Peaceful Panda,Verified Purchase
One person found this helpful,"Reviewed in the United States on February 15, 2021","First of all, I love the idea of Echo  Dot - listening to music, news, the random question of how tall is Tom Cruise, grocery lists, etc.  I'm sure there are a ton of other things I could do with it, but frankly I can only take so much technology.I also like the way this one looks - fits right in on the white kitchen desk.  Previously we owned the Dot that looked like a big aspirin.  I  adored that little thing and was sad when she gave it up after 4 years.  We got a good deal on a trade-in and I use this one  all day, every day.That said, my issue is that her hearing isn't that good. I either have to speak (yell) at her (which irritates my husband) or get right up to her and speak slowly and clearly in order for her to pick up the command.  I wish she were a little more voice-sensitive.Small complaint  for all she does, but a complaint nonetheless.  I still recommend her.",Almost love it.,,4.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Jamie R.,Verified Purchase
,"Reviewed in the United States on April 10, 2021","I have 2 Echo dots 1st generation, 2 Echo dots 3rd generation, and 2 Echo shows (5 and a larger older one).  The Echo dot 4th generation is the best ever!  Much better audio quality for music (though no where near as good as the Echo Studio) but the BEST IMPROVEMENT IS THAT IT CAN HEAR ME AND UNDERSTAND MY VOICE WHEN I’M IN THE SHOWER LISTENING TO MUSIC.A couple of years ago, I was doing some work while  sitting on the floor, I strained my back, and couldn’t get up.  All alone at night, stuck on the floor.  Reminded me of the “help I’ve fallen and I can’t get up” ads.  I was about to ask Alexa to call a friend to come help me when I managed to crawl to the sofa and pull myself up.  But after that, I put several dots throughout my home so I could have Alexa call for help should I need it.  A friend of mine put one in his bathroom so in case he falls in the shower, he can ask Alexa to call for help.  Great idea!  So I put  one in my bathroom too.  But the 1st gen dot had trouble understanding me with the water running while listening to music.The 4th generation dot has terrific voice recognition in noisy environments, even with music and water running in the shower .  The 4th gen dot also understands me when Im watching tv (my 1st gen dot couldn’t as the dot is placed 5 ft from the tv.)Two of my dots are connected to stereo speakers in rooms where I want stereo sound (bedroom, family room).  The rest are fine as is: in Rec room, utility room, garage, living room, basement hallway, etc.My only regret is that Amazon didn’t invent the dots 15  years ago.  My mom was legally blind the last 10 years of her life.  I think of all the ways Alexa could have helped her.  Listen to classical music, set medication reminders, schedule doctor appointments on her calendar with reminders, call for help if needed, listen to audiobooks, get the weather report, news, etc.  Alexa could have made her life so much easier and brought her joy listening to music and books.Thank you Amazon for making such an amazing helpful product!",Much improved voice recognition in noisy environments!  Improved music sound quality.,,5.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,slz,Verified Purchase
2 people found this helpful,"Reviewed in the United States on January 15, 2021","I really wanted to love it, and watched reviews and really researched the upgrades before purchasing. The disappointment is massive on this. The sound quality is so bad that i thought maybe it was me hearing it wrong. This boasts an upgraded sound with better speakers and bass but it was untrue. At its loudest, it it apx at the same volume as a 7 on the 3rd gen. The sound is too sharp and changing the levels only helps a smidge. This has more trouble hearing me and i found myself repeating requests way too often. The base lights are hard to see especially if you have it on a wall mount so you can't visually see if it heard you. i tried using it in 2 rooms and the sound was poor in both and the microphone was just as bad in both. I DO NOT recommend this to anyone who already has the 3rd gen. The reviews all said the sound was better but maybe it was for the full echo and not the dot. I gave it a chance but had to return it.",Sound is a HUGE downgrade from gen3,,2.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Tessy,Verified Purchase
4 people found this helpful,"Reviewed in the United States on July 31, 2021","I LOVE asking it to play a favorite song, report the time and outdoor temp.Sometimes she reminds me of a defiant child because she doesn't listen nor respond.  I'm probably doing something wrong 😕!",so cool!,,4.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Connie Carroll,Verified Purchase
2 people found this helpful,"Reviewed in the United States on February 24, 2021","Compared to the third gen dot, this one sucks. The sound quality is terrible: hollow tinny sound lacking any bass. It sounds like a cheap speaker. The 3rd gen dot on the other hand has quite impressive full sound for its size. Sure they aren't a substitute for a true home sound system, but for everyday listening they are pretty good. So I don't know what went wrong with this new one. It's just not even close. The design is also odd. The sphere means the ring lights are at the bottom where you can't see them. The buttons poke through the fabric on the top and feel cheap. Unlike the unassuming disk shape of the previous generation, this sphere is obvious and obtrusive.If you are considering upgrading from the gen 2, this is an ok buy. The sound is a little tiny bit better. But if you are considering upgrading from a gen 3, don't do it! You will be disappointed.",Downgrade from 3rd gen,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Keeya Judd,Verified Purchase
One person found this helpful,"Reviewed in the United States on June 9, 2021","At first I really liked it, while our home already had various smart devices, this was the first device I bought to tie everything together and at first it was so cool! But then Alexa started getting slack and now she’s basically useless. First I noticed that when we ask her to turn on the living room light she ignores us, annoying, but ok. I’m not sure if she’s getting confused or being sassy but I’m not a fan. Now it has progressed to when we ask her to turn on the light in the bedroom she turns off the tv and the lights in the living room instead. Not cool girl. I know she heard me, I don’t know why she’s getting an attitude like this but I told her if she keeps doing this ima call her mom so this is that. It’s gotten to the point where the echo dot is so unreliable we basically never use it. I’ve gone back to controlling my other smart devices through their corresponding apps. I also got a google home mini to compare the two and so far the google keeps improving and echo does the opposite. Plus the google lets you change its voice. If I started with the Google I probably wouldn’t have gotten an echo",Alexa needs to get it together,,3.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Han,Verified Purchase
2 people found this helpful,"Reviewed in the United States on June 21, 2021","I bought this 4th gen echo dot on sale thinking that the sound quality was supposed to be better then the 3rd gen dots. I own 5 3rd gen dots and love them. Sound quality is good, however with age, voice recognition is declining. I assume it is the updates Amazon is pushing automatically so that you want to upgrade. The sound quality of the 4th gen dots is awful. I set it up and opened my favorite radio station and was very disappointed with the poor sound quality. Even bluetooth connection sound was awful. I should have read the reviews before buying.  This dot will be going back!","VERY, VERY Poor Sound Quality!!!!",,3.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,K. Cooper,Verified Purchase
,"Reviewed in the United States on December 30, 2021","Update: Jan1, 2022  I really like it for the most part. I have used it to set timers and reminders and that works great on both. What I don't like is Whan I set a reminder on one, it doesn't announce on the other Echo device. Not very handy it you happen to be out of hearing range of it. I got two so I would be able to use the system in both ends of the house. I know you can go into the app and change it but that is inconvenient and I'm not sure it works.On another note, the audio is not as clear as advertised. The female voice is muffled quite a bit. The man's voice is clearer but not great. Music played is satisfactory.I took 2 stars off because of the quality of voice sounds and not being able to set on both devices at the same time.So far we love it. We don't have any devices setup yet but they are coming.Don't know why the ring at the bottom stays on sometimes in amberish color. Sometimes it spins, others it just sits there doing nothing. Other times it goes comletely dark.",Fair quality sound.,,3.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Richard L. Medcalf,Verified Purchase
,"Reviewed in the United States on February 23, 2021","Alexa is getting better. But it doesn't matter which device you use to communicate with Alexa, unless your task needs a screen. Whether you use an Echo Flex that you got on sale for $9.99 to the top of the line Echo device, voice commands will be processed the same way.  So what you are really paying for is sound quality, and the device falls short.It's easy to find a selection of computer speakers and sound bars in the $30 to $50 range, and they sound far better than this Echo Dot.  You should expect that an Echo Show at $50 would have at least the quality of better speakers at the low end of that price range. But it doesn't come close. Adding the other features shouldn't raise the price more than that of a low end Echo device, considering that only a fraction of what's in it would be needed.If you want to listen to music and aren't expecting high end sound, you won't get that. But you won't get low end sound bar quality either. The sound quality is good enough for Alexa's voice, but not really good enough for music, and far worse than you'd expect for the money.The device also supports Bluetooth, including BLE, and that's where the frustration started. I tried pairing a Sengled bulb to it and had no end of trouble. It didn't work reliably.  I initially thought it was the bulb, but when I replaced the bulb, it worked initially and after a few days I was back to the same problems. Communication was intermittent, and when I started the pairing process again, it worked -- only this time, the bulb paired with a different Echo device on a different floor in the house at the other end of the house. It worked perfectly that way.It seemed pretty clear that the Bluetooth in this device is defective, and after doing a factory reset and trying the pairing process again, I had the same problems. Unplugging this device and having the bulb pair with a remotely located Echo Show fixed that issue and it's been working perfectly 100% of the time.I have other Echo devices so I have a workaround, but there's no reason that I shouldn't be able to pair a bulb with an Echo Dot that's five feet away. I tried contacting Amazon through chat, and they gave me the runaround until I finally gave up. Trying everything they said did nothing, and they clearly seemed more interested in getting me to go away than to admit that their product is defective.",Less than mediocre sound and Amazon doesn't stand behind it,,2.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Wayne,Verified Purchase
,"Reviewed in the United States on February 10, 2021","Update May 2021:  Now when I call, they tell me they can’t see that I’ve reset the device when I’m fast I am having to reset the device every other day if not daily. Giving a device like this a 90 day warranty is very telling. They are aware of its potential early failure modes, and they are trying to push consumers to buy the extended warranties. Please just take mine back and let me get one that works so my child can listen to his music at night to sleep. Is it really that expensive to support?I’ve now contacted support four times in one week. The most recent before tonight suggested I needed to contact support when the device was actively having an issue. So I did that tonight. I was asked to move the device within 5 m of a router, done! Ah that doesn’t help me with where it’s supposed to go. Now they offer a 15% discount on a new one since This one is out of warranty. 4 echos in the house, including a gen 1 echo and three dots, and this 4th gen dot has been having issues off and in since February. Support is not very helpful. Back to playing music for our child via Bluetooth.The problematic one has started not responding. I've been unplugging it and plugging it back in, and then it works.  So this happens every few days.  I contacted support and of course the warranty period ended April 1st. Their only suggestion was to reset the device, which is what I have had to do twice now since I called in.  Last night it became unresponsive after it heard the wake word, the blue light just stayed on, so I reset it.  It looks like I will have to constantly reset it to keep it working, which is extremely frustrating.  The good one has been working great, still, since day one.So I’ll average my rating at a solid 3. We bought two for our boys. One has worked great since set up, the other has required resetting three times since Christmas. So I’ll review the problematic one. Both set up just fine, nice and easy as expected and they both integrated with our other echos and compatible smart devices. One day while scanning my network I noticed a device that I didn’t recognize. I did an online search and figured out that what I was seeing was the wireless component of one of the new echo devices we had just given our children for Christmas. While all the other echos attached to out network were identified as amazon devices. Hmm, not a huge deal. I unplugged it and reset it. Fast forward a few weeks and one night while asking the echo to run the same routine we run every night at bedtime, it tells me that it appears I am trying to control a device that is linked to another account, would you like me to control it?  Well of course!!  Well that didn’t work. I had to deregister the echo and set it up from scratch again. All good......until a few weeks later. Same bedtime routine and the echo is telling us it can’t play music from pandora, that we need to enable the skill and that it had sent us instructions on how to do so, despite being registered to an account that has three other echo devices that can play stations from my Pandora without any issues. So another deregister and setup from scratch and it’s working just fine, for now. I contacted support at one point, but they want to troubleshoot in real time. This occurs during the bedtime of my 6 year old, I don’t have time to troubleshoot at that time. I realize these devices aren’t perfect, but my son thinks he has a bad one, and I’m getting frustrated. I’m not quite sure what to do at this point. The “bad” one and the “good” one are both equal distance from the router. I don’t quite understand what I can do different.  To me this seems like a defective device.",Two new echos: one good and one problematic,,1.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,C. Roemer,Verified Purchase
,"Reviewed in the United States on October 21, 2021","When we changed his name to Ziggy (which we thought was better than the other options of Alexa, computer or Echo), the voice recognition was poor. It seems to respond well to the wake up Echo. The spherical design is nice. I do not care for the ring of light at the bottom always needing to be on to show that it hears me. I like the button on top to turn off listening. It only responded once so far out of context when we did not use the wake word and it just misunderstood one of our words to be a wake word and so started answering to its best ability to whatever it heard for the remainder of our conversation. I do not care for the wordy responses when it cannot complete a task I have given it. The kids enjoy having conversations with it which is not something I find entertaining. Having it on kids mode is good since I cannot always be around to monitor what music is played. It did happen to misunderstand what music the kids wanted to hear and ended up playing an explicit song. We are still learning all of its capabilities and it is nice to have an assistant and speaker all in one.",Ziggy issues,,3.0 out of 5 stars,Color: Twilight Blue,Configuration: Echo Dot,maristar,Verified Purchase
,"Reviewed in the United States on April 8, 2022","I've bought Sengled wifi color brand bulbs and was easy to setup and works perfectly that I don't have to worry about lazy people leaving lights on cause I can turn them off now without getting up with just a voice command or through my device, also good when your not home and want others to think you are to prevent burglars from breaking inWe have both Gen 3 and 4 throughout the house, you can group then lights into rooms of your choice bedroom, living room, kitchen or custom.  You can only control one TV to each Echo device, we also have fire TVs. You can also use app on your phone to announce your coming home to the family! Children won't wake up for School, can set alarm daily to blast.. baby shark! Lol 😂Can play allot of songs free or subscribe $15 to Amazon Music, you can link Hulu to it and Sirius XM. You can also set it to be child Friendly too, I'm still learning everyday something new, hope this helps!",One smart house!,,5.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,C. Phillips,Verified Purchase
,"Reviewed in the United States on February 28, 2022","What I disliked about the new Alexa Dot Gen 4 is that the notification light is on the bottom of the device.  I cannot see when I have a notification (message).  I have it on my nightstand and its behind another object that covers the light when it comes on.  Unless I purchase some type of stand to prop it up higher on so I can see the light when its on which will place it above the other objects on my nightstand.  Especially for a senior citizen like me, having the notification light glowing from the bottom is challenging for me. The sound was okay for me as I don’t use it to play Spotify or Amazon music.  I use my Bose Soundbar for that.  I will be returning it and looking for another Alexa device that as the notification light on the top like the Gen 3 Dot.  I do not like the white color either.  I wanted black but so many people posted that the black dot came with a white cord, I did not want a white cord on a black device.",Do Not Like Notification Light on Bottom,,4.0 out of 5 stars,Color: Glacier White,Configuration: Echo Dot,Psquare,Verified Purchase
,"Reviewed in the United States on February 6, 2022","Got this this for free (well, not exactly free, SiriusXM sent it to me for free hoping I will go for the $8/mo SiriusXM SKill service, which only works inside Amazon Alexa). Long story short, Bluetooth can pair with the Echo Dot just fine on all of my 3 iPhones, while the Alexa App cannot pair with it in auto or manual mode. Just ignores it entirely. It can see some of my TVs just fine, but not the Dot. This is on all of the iPhones.So, why am I giving it 5 stars instead of 0 since it doesnt perform its primary function, namely play SiriusXM from an Amazon app? Well, would you like a decent Bluetooth speaker for free with free shipping? That is what this is. I only use SiriusXM in my car. At home I will use the Dot just for playing music. No SiriusXM inside the house.Regarding the sound - great for the size. Not much of bass, but more than I expected from is size. Overall, I'd siriusly consider buying the Dot for the $50 even if I wasnt given a chance to have it for free.Yes, there is an integration issue with Alexa, but that may or may not be the device's fault. In the absence of further information I choose to err on the side of kindness, hence the five stars.Edit 2020 Feb 9: It turns out there wasnt an issue with the Dot to begin with. It was immediately paired and joined right away. The prompt to add more devices (like a Echo Sub or a second Dot) couldnt find them, but there were none to be found. Since I gave it 5 stars to begin with, the rate remains.",Doesnt Pair with Alexa on Any iPhone I have,,5.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,G. Vladimir,Verified Purchase
One person found this helpful,"Reviewed in the United States on February 20, 2021",Me gusta mucho llevo una semana usándola. Te mantiene actualizada con la noticias. Y también te recuerda cada cosa que necesites. Cómo un temporizador. Y sus alarmas. Y te agrega a lista de la compra lo que necesitas.Y al que le guste escuchar música. Es fascinante porq tiene un volumen muy bueno se escucha súper bien. Y lo mejor que es sin anuncios ni propagandas. El micrófono funciona muy bien. Y reconoce la voz de la persona que le ata hablando.Te da recetas de algo que quieras cocinar. Te motiva a limpiar. Es bien exacta con el tiempo. Y con el tráfico para donde quieras ir. Te entretiene con preguntas y hace cuentos. Y hablaMuchos idiomas. Si tienes luces y puertas inteligentes y robot vacuum se conecta y es muy funcional. En fin que vale la pena!!!!!!!!!!!!!! Ah si tienes otro Alexa se conecta con ese y sigues usando ambos.,Me encanta.,,5.0 out of 5 stars,Color: Charcoal,Configuration: Echo Dot,Jose L.,Verified Purchase
